uttid,actual_phoneme,mispronounced_phoneme,start_time,end_time,confidence,prosetrior_probability,max_logit,mean_logit_margin,logit_variance,combined_score,phoneme_accuracy,mispronounced
0001,W,W,0.125,0.635,0.961,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,IY0,IY0,0.635,0.736,0.498,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,K,K,0.736,1.038,0.86,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,AO0,AO0,1.038,1.26,0.797,0.0,0.0,0.0,0.0,0.0,1.8,False
0001,L,L,1.26,1.32,0.493,0.0,0.0,0.0,0.0,0.0,1.8,False
0001,IH0,IH0,1.32,1.481,0.621,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,T,T,1.481,1.683,0.897,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,B,B,1.683,1.744,0.991,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,EH0,EH0,1.744,1.905,0.621,0.0,0.0,0.0,0.0,0.0,1.0,False
0001,R,R,1.905,1.945,0.318,0.0,0.0,0.0,0.0,0.0,1.0,False
0001,Z,Z,0.322,0.832,0.999,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,IH1,IH1,0.832,1.093,0.742,0.0,0.0,0.0,0.0,0.0,1.4,False
0001,R,R,1.093,1.153,0.492,0.0,0.0,0.0,0.0,0.0,1.4,False
0001,OW0,OW0,1.153,1.575,0.887,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,TH,TH,1.575,1.916,0.875,0.0,0.0,0.0,0.0,0.0,1.2,False
0001,R,R,1.916,2.016,0.796,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,IY0,IY0,2.016,2.317,0.749,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,F,F,2.317,2.357,1.0,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,AY0,AY0,2.357,2.557,0.636,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,V,V,2.557,2.618,0.992,0.0,0.0,0.0,0.0,0.0,1.8,False
0001,W,W,2.618,2.778,0.875,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,AH0,AH0,2.778,2.858,0.249,0.0,0.0,0.0,0.0,0.0,2.0,False
0001,N,N,2.858,2.898,0.498,9.521343713458919e-07,-4.791825294494629,-16.20503807067871,1.3088563680648804,-15.502894548883072,2.0,False
0001,TH,TH,0.282,0.812,0.961,0.0,0.0,0.0,0.0,0.0,1.8,False
0001,R,R,0.812,0.873,0.5,0.0,0.0,0.0,0.0,0.0,2.0,False
